"shortZip","state","democratContribution","republicanContribution"
"78504","TX",185115.48,112718.5
"76092","TX",35304.59,261223.41
"91108","CA",140459.73,155252.67
"48304","MI",98744.25,196293
"29401","SC",101601.04,190398.78
"07078","NJ",145452.68,145755
"34786","FL",106308.87,184307.35
"94707","CA",278069.41,11473
"90048","CA",242867.68,45750.32
"45243","OH",50739.55,235502.32
"02467","MA",240646.96,45028.08
"33308","FL",105388.45,180153.63
"98040","WA",160432.25,123758.23
"33418","FL",133634.33,149859.69
"77008","TX",100777.99,182352.75
"10708","NY",173636.4,108369.9
"07901","NJ",88775.87,192268.59
"75034","TX",51189.07,229644.07
"80304","CO",265960.83,14077.35
"20036","DC",190739.6,88964.64
"02478","MA",242469.68,37159.63
"75209","TX",116722.09,158523.37
"91403","CA",187642.51,87573.56
"94563","CA",226369.21,48686.03
"44022","OH",53139.48,221408.63
"77006","TX",188738.17,85743.1
"43209","OH",118662.46,154699.48
"77098","TX",100798.96,171291.39
"94111","CA",178388.97,93490.1
"32312","FL",78646.28,190964.54
"43215","OH",60382.06,209228.1
"80302","CO",245072.38,23002.76
"02481","MA",152565.42,115067.97
"94121","CA",236818.51,28610.5
"20910","MD",249602.64,15349.8
"92625","CA",90026.41,174011.52
"75254","TX",20296.24,243030.21
"33496","FL",130146.24,132717
"94133","CA",224761.74,37846.45
"98102","WA",248872.34,13338.48
"33149","FL",79183.05,182992.18
"60010","IL",71198.03,190946.84
"11231","NY",241019.64,19574.2
"33154","FL",65583.64,194696.85
"34102","FL",31405.12,227421.08
"94610","CA",234870.62,23907.78
"33629","FL",105717.06,153051.12
"94549","CA",192264.8,66039.75
"34236","FL",128468.07,129441.16
"02118","MA",232838.98,25021.76
"77381","TX",48674.8,207427.92
"77380","TX",26343.19,229145.5
"60601","IL",178858.24,76606
"75214","TX",127634.11,126321.3
"98115","WA",238030.93,14840.32
"80113","CO",162285.7,90459
"94127","CA",215142.23,37478.03
"07042","NJ",209659.07,42185
"60045","IL",96438.7,155118.11
"80209","CO",192463.92,58349
"98119","WA",224549.52,25945
"05401","VT",233408.62,15201.5
"95864","CA",158274.35,89648.16
"53217","WI",88162.89,159083.9
"70118","LA",95406.19,151658.67
"02130","MA",235515.1,10973
"72207","AR",168183.48,77509
"11238","NY",239132.61,4505
"22182","VA",147525.06,95809.09
"85255","AZ",59669.47,183215.32
"92657","CA",118336.19,124312.62
"20011","DC",220344.08,21405
"14850","NY",228907.39,12618
"34108","FL",47932.9,192884.34
"80220","CO",201872.75,38824.63
"98122","WA",225176.92,15094.35
"02906","RI",205568.92,33813
"60654","IL",169392.26,69892.97
"78704","TX",206715.38,31469.62
"94708","CA",231399.69,6347
"10009","NY",220611.68,17119.45
"75206","TX",85945.08,150366.8
"33146","FL",84003.72,151685.8
"01742","MA",196453.83,39151.76
"02493","MA",163245.26,72329
"10007","NY",182872.48,51601.6
"81611","CO",185537.95,48806.74
"45208","OH",97060.27,136661.45
"02446","MA",220718.81,12652
"07090","NJ",82233.14,151027.72
"22301","VA",152173.32,80651.83
"10004","NY",109620.53,120146.91
"74114","OK",162484.23,66451
"07030","NJ",142482.41,85744.91
"90292","CA",186743.32,41409.43
"34103","FL",33867.02,193362.5
"90066","CA",193432.71,33566.66
"78735","TX",82081.11,144396.11
"94105","CA",186439.29,39549.1
"78212","TX",96813.04,128969
"20010","DC",215816.4,9546.6
"77706","TX",97110.07,127564.5
"07458","NJ",38644.46,185270.9
"77379","TX",82278.81,141529.56
"91302","CA",118385.53,105073.51
"29464","SC",89948.41,133394.86
"22302","VA",112114.37,110643
"79701","TX",7667.44,214608
"87505","NM",209398.21,12800
"80202","CO",151772.73,69785.01
"92677","CA",63607.23,156675.84
"90211","CA",158250.09,60622.59
"77055","TX",39478.97,178949.99
"90020","CA",175987.39,42405
"11559","NY",49468.67,167791
"44122","OH",89853.03,126934
"94103","CA",194794.69,21870
"19087","PA",102453.19,113653.41
"33606","FL",91967.34,123783.84
"06902","CT",155981.37,58075.6
"11050","NY",156848.3,57008.64
"22202","VA",131253.77,82303
"63131","MO",94161.36,118536.85
"94618","CA",196680.29,15593.38
"92663","CA",65332,146673.06
"60613","IL",185364.97,25975
"02139","MA",208704.5,2590.6
"94122","CA",199212.32,11396.66
"92103","CA",189840.1,20610.95
"98105","WA",186678.13,23400
"60302","IL",193773.69,16223
"28211","NC",98087.52,111482.2
"35213","AL",31921.82,177605.25
"79424","TX",9660.58,199724.35
"60622","IL",181062.54,28302.08
"95014","CA",139485.3,68791.29
"60647","IL",189795.97,18284.97
"11030","NY",98719.51,107844.34
"75248","TX",56342.52,150220.17
"94402","CA",152189.17,53353.9
"91011","CA",124393.21,80338.15
"19010","PA",101564.66,102822
"60640","IL",187676.91,16665.07
"20852","MD",141685.61,62181.52
"33483","FL",63203.96,139844.8
"07945","NJ",17104.93,185343.08
"43221","OH",74995.96,126802.41
"20850","MD",179850.51,21867
"33401","FL",85122.77,116358.79
"60605","IL",160399.94,40406.25
"22304","VA",121174.96,78892
"48103","MI",159895.29,38989
"28207","NC",119129.3,77420.07
"95060","CA",183473.19,12826.02
"85718","AZ",89750.53,106036.63
"48302","MI",90446,105049
"07039","NJ",58479.03,136637.96
"94901","CA",166194.76,28715.62
"02140","MA",185869.13,7137.72
"55391","MN",119010.85,73499.24
"77356","TX",50924.85,141425.75
"76109","TX",41784.33,150501.75
"95125","CA",146123.1,46144.56
"02108","MA",160204.79,31790
"10471","NY",145850.48,45811.6
"02459","MA",168128.53,23401
"98033","WA",148271.9,43247.84
"33176","FL",71581.03,119778.11
"48236","MI",53026.45,138262.2
"48104","MI",148170.94,42782.8
"76034","TX",19265.2,171573.21
"85018","AZ",78262.94,112181
"46032","IN",72471.39,117853.21
"77450","TX",33992.27,156245.15
"92130","CA",110309.77,78961.78
"77546","TX",39356.47,149587.67
"43054","OH",23109.75,165707.54
"21212","MD",162646.96,26104
"60606","IL",91817.7,96685.95
"44124","OH",54218.31,133571.9
"60022","IL",140129,47360
"10027","NY",171715.08,15293.5
"98052","WA",118003.79,67696.33
"08701","NJ",87862.93,97504
"75070","TX",32391.76,152908.84
"91001","CA",139072.82,45592.48
"92014","CA",131001.79,53509.94
"94965","CA",146645.25,37750
"87501","NM",158994.83,24801
"91361","CA",40673.25,142525.85
"10018","NY",147659.38,35514
"06878","CT",74650,108353
"07450","NJ",78285.74,104086.6
"30342","GA",68444.25,113894.04
"33180","FL",103623,78502.53
"19096","PA",126961.19,54497.35
"55403","MN",156155.72,25057.16
"75703","TX",10068.69,170250.35
"90026","CA",173761.98,6392
"94501","CA",168275.98,11230.24
"77429","TX",22481.94,156685.02
"35223","AL",29855.65,149034.02
"90275","CA",126649.48,51795.49
"98117","WA",162420.93,16016.64
"75935","TX",500,177602
"76102","TX",19519.21,158080.87
"91007","CA",155895.54,21550
"21210","MD",165828.18,11337
"35242","AL",20485.5,156411.49
