"shortZip","state","democratContribution","republicanContribution"
"20878","MD",108806.3,25394.98
"22204","VA",91490.41,42525.22
"92705","CA",53508.96,80403.08
"32303","FL",60669.93,73039.76
"07417","NJ",38231.86,95459.12
"33487","FL",44697.59,88554.49
"94040","CA",113872.95,19278.37
"33138","FL",100409.39,32542
"44145","OH",28040.5,104898
"91602","CA",121405.5,11407.96
"32308","FL",59389.6,73344.28
"01778","MA",101301.65,31346.6
"01002","MA",131831.54,576
"27609","NC",56523.78,75854.93
"95032","CA",91983.55,40015.32
"80108","CO",56097.16,75699.96
"98006","WA",76226.2,55569.8
"90028","CA",119718.15,11810.35
"07006","NJ",45041.33,86208.8
"21209","MD",116748.91,14479
"95062","CA",124465.27,6611
"07302","NJ",94592.08,36220
"90404","CA",94357.79,36446.02
"75032","TX",30314.29,100256.6
"55401","MN",116650.25,13809.75
"37069","TN",47503.91,82779.24
"35801","AL",58731.25,71449.02
"29455","SC",42359.85,87724
"60615","IL",120681.19,8913.33
"55405","MN",119009.28,10406.6
"02657","MA",129218.97,0
"11249","NY",120529.24,8653.26
"02472","MA",103348.11,25746.75
"46260","IN",54941.37,73974
"78572","TX",58183.94,70430
"94102","CA",123997.35,4451.2
"93105","CA",111477.98,16912
"02110","MA",76186.43,52036.63
"79912","TX",41335.5,86884.51
"89134","NV",70375.06,57663.9
"91711","CA",96193.8,31830.8
"89109","NV",51249.86,76772.79
"02114","MA",103175.03,24686.05
"20006","DC",92396.95,35250
"87111","NM",89278.94,38205.88
"38120","TN",19466.96,107669.5
"48301","MI",30323.43,96805.28
"06870","CT",74956.62,52155.7
"77573","TX",33001.01,94076.74
"65203","MO",71595.15,55289.75
"32804","FL",52734.29,73772.89
"33040","FL",86166.05,40308.59
"07931","NJ",14225.76,111880.3
"60527","IL",78236.62,47808.1
"80301","CO",94169.47,31808.75
"10536","NY",93284.1,32665
"30004","GA",19387.82,106354.02
"74137","OK",39218.18,86295.25
"94556","CA",91692.75,33754.35
"84098","UT",77355.34,47798.15
"85260","AZ",48816.61,76076.11
"48323","MI",46051.45,78733.16
"90019","CA",120316.18,4316
"60625","IL",121862.82,2769
"32207","FL",24377.31,100064.32
"64112","MO",101426.83,22873
"29206","SC",22794.7,101459
"33701","FL",68755.57,55198.2
"72212","AR",53631.68,70314
"97214","OR",123116.36,650
"94526","CA",82269.47,41457.87
"90045","CA",97151.97,26346.75
"33062","FL",56789.67,66683.97
"33155","FL",34872.05,88471.11
"97209","OR",91611.48,31533
"32174","FL",23274.47,99860.71
"07670","NJ",88621.26,34426.57
"34242","FL",78295.72,44746.5
"20895","MD",92236.56,30550.5
"02186","MA",97239.79,25546
"50312","IA",80734.01,42031.8
"98199","WA",109524.48,13075.75
"98121","WA",102614.42,19950.8
"37212","TN",104692.32,17737.51
"73072","OK",46783.36,75599.39
"19102","PA",73143.58,49148
"89511","NV",35315.26,86905.16
"27410","NC",85471.03,36675.12
"39211","MS",31053.87,90620.73
"44040","OH",23269.19,97805.3
"60305","IL",87795.71,33261
"94087","CA",88837.71,32193.32
"27608","NC",84608.67,35670
"95762","CA",53141.24,67110.89
